a,1.927623
a,2.552306
b,1.727092
b,1.727092
b,1.927623
b,2.195613
b,2.518099
b,2.743734
b,2.743734
b,3.122243
c,2.552306
c,5.004418
d,2.743734
d,3.144713
e,1.954989
e,2.437787
e,7.019419
f,3.122243
g,1.727092
g,1.800545
g,2.195613
g,5.004418
g,7.019419
h,1.800545
h,2.130594
h,2.401653
h,2.552306
h,2.754004
h,3.144713
h,4.892912
i,2.730118
i,3.122243
i,3.144713
j,3.186519
k,1.800545
k,2.195613
k,2.199210
k,4.892912
k,7.019419
l,2.130594
l,2.130594
l,2.199210
l,2.401653
l,2.552306
l,2.730118
l,2.754004
l,5.004418
m,1.954989
m,3.122243
n,1.523557
n,1.800545
n,2.518099
o,1.727092
p,1.846255
p,2.518099
p,2.518099
p,2.730118
p,4.731526
p,4.892912
q,3.186519
r,1.523557
r,1.523557
r,1.846255
r,2.401653
r,2.961036
r,2.961036
r,3.144713
r,3.186519
s,1.846255
s,2.130594
s,2.199210
s,2.437787
s,2.961036
t,2.437787
u,1.846255
u,1.927623
u,1.954989
v,2.437787
v,2.961036
v,3.186519
w,1.523557
w,1.927623
w,2.199210
w,2.401653
x,1.954989
x,2.743734
x,2.754004
x,4.731526
x,4.731526
x,4.892912
y,5.004418
z,2.195613
z,2.730118
z,2.754004
z,4.731526
z,7.019419
